Amend Id,Timestamp,Book,Currency Pair,Side (Base CCY),Quantity,Price,Margin Pips,Margin Bps,Markup,Market,Dealt CCY,Dealt Quantity,Value Date,Trade Details,Trade Date,Trade ID,Order ID,Counterparty,
"","2025-03-25 17:08:36.983","WAREHOUSE_BOOK","EURUSD","SELL","85,000","1.0804940","","","","ORIENT_FLEX","EUR","85,000","2025-03-28","","2025-03-25","VHD8695202","VHG86910603","ORIENT_FLEX",
"","2025-03-25 17:07:35.965","HOUSE_BOOK","EURUSD","SELL","85,000","1.0804440","","","","POSITION_TRANSFER","EUR","85,000","2025-03-28","Auto Hedger Trader Risk Trade; filled by Position Transfer Order Service","2025-03-25","VHG03110630","VHG03110627","WAREHOUSE_BOOK",
"","2025-03-25 17:07:35.964","jfx","EURUSD","SELL","85,000","1.0802940","1.5","1.38","$ 12","SPARK_PRICING","EUR","85,000","2025-03-28","Filled","2025-03-25","VHG07010624","VHI0706637","HOUSE_BOOK",
"","2025-03-25 17:07:29.233","HOUSE_BOOK","EURUSD","SELL","100,000","1.0804440","","","","POSITION_TRANSFER","EUR","100,000","2025-03-28","Auto Hedger Trader Risk Trade; filled by Position Transfer Order Service","2025-03-25","VHG03110625","VHG03110622","WAREHOUSE_BOOK",
"","2025-03-25 17:07:29.232","jfx","EURUSD","SELL","100,000","1.0802940","1.5","1.38","$ 15","SPARK_PRICING","EUR","100,000","2025-03-28","Filled","2025-03-25","VHG07010620","VHI0706635","HOUSE_BOOK",
"","2025-03-25 17:07:20.622","HOUSE_BOOK","EURUSD","BUY","100,000","1.0806250","","","","POSITION_TRANSFER","EUR","100,000","2025-03-28","Auto Hedger Trader Risk Trade; filled by Position Transfer Order Service","2025-03-25","VHG03110620","VHG03110617","WAREHOUSE_BOOK",
"","2025-03-25 17:07:20.619","jfx","EURUSD","BUY","100,000","1.0807750","1.5","1.38","$ 15","SPARK_PRICING","EUR","100,000","2025-03-28","Filled","2025-03-25","VHG07010616","VHI0706633","HOUSE_BOOK",
"","2025-03-25 17:04:45.801","WAREHOUSE_BOOK","EURUSD","BUY","85,000","1.0804890","","","","ORIENT_FLEX","EUR","85,000","2025-03-28","","2025-03-25","VHD8695198","VHG86910601","ORIENT_FLEX",
"","2025-03-25 17:03:44.837","HOUSE_BOOK","EURUSD","BUY","85,000","1.0804070","","","","POSITION_TRANSFER","EUR","85,000","2025-03-28","Auto Hedger Trader Risk Trade; filled by Position Transfer Order Service","2025-03-25","VHG03110615","VHG03110612","WAREHOUSE_BOOK",
"","2025-03-25 17:03:44.836","jfx","EURUSD","BUY","85,000","1.0805570","1.5","1.38","$ 12","SPARK_PRICING","EUR","85,000","2025-03-28","Filled","2025-03-25","VHG07010612","VHI0706631","HOUSE_BOOK",
"","2025-03-25 17:03:37.273","HOUSE_BOOK","EURUSD","BUY","100,000","1.0804090","","","","POSITION_TRANSFER","EUR","100,000","2025-03-28","Auto Hedger Trader Risk Trade; filled by Position Transfer Order Service","2025-03-25","VHG03110610","VHG03110607","WAREHOUSE_BOOK",
"","2025-03-25 17:03:37.271","jfx","EURUSD","BUY","100,000","1.0805590","1.5","1.38","$ 15","SPARK_PRICING","EUR","100,000","2025-03-28","Filled","2025-03-25","VHG07010608","VHI0706629","HOUSE_BOOK",
"","2025-03-25 17:03:34.404","HOUSE_BOOK","EURUSD","SELL","100,000","1.0802740","","","","POSITION_TRANSFER","EUR","100,000","2025-03-28","Auto Hedger Trader Risk Trade; filled by Position Transfer Order Service","2025-03-25","VHG03110605","VHG03110602","WAREHOUSE_BOOK",
"","2025-03-25 17:03:34.393","jfx","EURUSD","SELL","100,000","1.0801240","1.5","1.38","$ 15","SPARK_PRICING","EUR","100,000","2025-03-28","Filled","2025-03-25","VHG07010604","VHI0706627","HOUSE_BOOK",
"","2025-03-25 15:36:51.201","jfx","EURUSD","BUY","100,000","1.0792890","1.5","1.38","$ 15","SPARK_PRICING","EUR","100,000","2025-03-28","Filled","2025-03-25","VHG0709615","VHI0706625","HOUSE_BOOK",
"","2025-03-25 15:36:51.200","HOUSE_BOOK","EURUSD","BUY","100,000","1.0791390","","","","ORIENT_FLEX","EUR","100,000","2025-03-28","","2025-03-25","VHD8695194","VHG8699653","ORIENT_FLEX",
"","2025-03-25 15:36:45.262","jfx","EURUSD","SELL","85,000","1.0788260","1.5","1.39","$ 12","SPARK_PRICING","EUR","85,000","2025-03-28","Filled","2025-03-25","VHG0709611","VHI0706623","HOUSE_BOOK",
"","2025-03-25 15:36:45.261","HOUSE_BOOK","EURUSD","SELL","85,000","1.0789760","","","","ORIENT_FLEX","EUR","85,000","2025-03-28","","2025-03-25","VHD8695190","VHG8699651","ORIENT_FLEX",
